name,address,phone,description,home_bakery,brick_and_mortar,shipping,price1_name,price1,price2_name,price2,price3_name,price3
Emma's Famous Pralines,"705 Old Spanish Trail, Slidell, Louisiana, 70458",469-328-0895,"Longtime Slidell bakery and praline shop offering seasonal king cakes including a popular three-flavor cake.",FALSE,TRUE,FALSE,,,,,,
Krummel's Mandeville Bake Shop,"22037 Florida St, Mandeville, Louisiana, 70471",985-626-1952,"Mandeville bake shop offering McKenzie-style sugar-and-glaze king cakes plus filled varieties.",FALSE,TRUE,FALSE,,,,,, 
Maple Street Bakery and Cafe,"21470 LA-36, Abita Springs, Louisiana, 70420",985-327-5554,"Abita Springs bakery and cafe offering seasonal Mardi Gras king cakes.",FALSE,TRUE,FALSE,,,,,,
Acquistapace's,"125 E 21st Ave, Covington, Louisiana, 70433",985-892-2181,"North Shore market billing itself as King Cake Headquarters, curating king cakes from top area bakeries at its Covington, Mandeville and Slidell stores.",FALSE,TRUE,FALSE,,,,,,
Berry Town Produce,"201 SW Railroad Ave, Ponchatoula, Louisiana, 70454",985-386-0025,"Ponchatoula produce market baking award-winning king cakes fresh daily with fruit and cream fillings; ships via UPS Next Day Air.",FALSE,TRUE,TRUE,,,,,,
Sweet P's,"24308 Highway 22, Ponchatoula, Louisiana, 70454",985-662-2033,"Ponchatoula shop carrying Cannata's king cakes plus gooey butter and white chocolate strawberry varieties by reservation.",FALSE,TRUE,FALSE,,,,,,
Navarre's Famous King Cakes,"31545 Highway 22, Springfield, Louisiana, 70462",225-294-3438,"Springfield-area king cake maker highly recommended on the North Shore.",FALSE,TRUE,FALSE,,,,,,
The Ambrosia Bakery,"8546 Siegen Ln, Baton Rouge, Louisiana, 70810",225-763-6489,"Baton Rouge institution since 1993 offering king cakes in around 19 fillings and three sizes including the trademarked Zulu King Cake; ships via UPS Next Day Air.",FALSE,TRUE,TRUE,Mini,4.25,,,, 
Calandro's Supermarket,"4142 Government St, Baton Rouge, Louisiana, 70806",225-383-7815,"Baton Rouge grocery whose bakery offers up to 50 king cake styles including its cream-cheese-pecan-coconut special; two locations.",FALSE,TRUE,FALSE,Traditional,12.99,Filled,19.99,,
Eloise Market and Cakery,"3160 Perkins Rd, Baton Rouge, Louisiana, 70808",225-341-9091,"Baton Rouge market and cakery founded by LSU alumna Madelyn Schmidt offering king cakes in flavors like banana pudding and cookies and cream, plus gluten-free.",FALSE,TRUE,FALSE,,,,,,
Les Amis Bake Shoppe,"11826 Coursey Blvd, Baton Rouge, Louisiana, 70816",225-293-8115,"Baton Rouge bake shop offering seasonal king cakes.",FALSE,TRUE,FALSE,,,,,,
Alexander's Highland Market,"18111 Highland Rd, Baton Rouge, Louisiana, 70810",225-615-7800,"Baton Rouge specialty grocery carrying king cakes including the gluten-free keto Eat Fit King Cake.",FALSE,TRUE,FALSE,,,,,,
Gourmet Girls,"3025 Perkins Rd, Baton Rouge, Louisiana, 70808",225-252-0999,"Baton Rouge bakery offering brioche king cakes stuffed with cream cheese in cinnamon and praline plus king cake cupcakes.",FALSE,TRUE,FALSE,Whole cake,25,King cake cupcake,4.75,,
Thee Heavenly Donut,"9414 Cortana Pl, Baton Rouge, Louisiana, 70815",225-964-6220,"Baton Rouge donut and king cake shop famous for boudin king cakes and fried king cakes made daily.",FALSE,TRUE,FALSE,,,,,,
Ralph's Market,"12250 Highway 44, Gonzales, Louisiana, 70737",225-621-8130,"Gonzales grocery producing nearly 50 king cake flavors fresh daily, all one size, available in-store or via two-day shipping.",FALSE,TRUE,TRUE,King cake,16.99,,,,
Another Piece of Cake Bakery,"1001 Blanchard St, Brusly, Louisiana, 70719",,"Brusly bakery on the west bank offering king cakes during Carnival season.",FALSE,TRUE,FALSE,,,,,,
Poupart Bakery,"1902 W Pinhook Rd, Lafayette, Louisiana, 70508",337-232-7921,"Lafayette's authentic French bakery since 1967 offering both Louisiana-style and French almond galette king cakes; ships.",FALSE,TRUE,TRUE,,,,,,
Keller's Bakery,"1012 Jefferson St, Lafayette, Louisiana, 70501",337-235-1568,"Lafayette landmark bakery dating to 1895 known for classic no-frills king cake from a 120-year-old recipe.",FALSE,TRUE,FALSE,,,,,,
Keller's Bakery of Youngsville,"627 Lafayette St, Youngsville, Louisiana, 70592",337-856-4449,"Youngsville branch of the historic Keller's bakery serving traditional king cakes.",FALSE,TRUE,FALSE,,,,,,
Rickey Meche's Donut King,"402 Guilbeau Rd, Lafayette, Louisiana, 70506",337-981-4918,"Lafayette donut shop famous for the doughnut-style king cake in full or half-and-half flavors; ships.",FALSE,TRUE,TRUE,,,,,,
Twin's Burgers and Sweets,"2801 Johnston St, Lafayette, Louisiana, 70503",337-234-9827,"Lafayette spot offering classic Louisiana-style king cakes with a variety of fillings.",FALSE,TRUE,FALSE,,,,,,
Crystal Weddings,"221 Jones Rd, Duson, Louisiana, 70529",337-989-1700,"Duson-based bakery near Lafayette offering king cakes for online order and pickup, sold in stores across Acadiana; ships.",FALSE,TRUE,TRUE,,,,,, 
Cajun Market Donut Company,"1812 W Pinhook Rd, Lafayette, Louisiana, 70508",,"Lafayette donut company blending donuts with king cakes including a savory boudin king cake, available year-round with 24-hour notice.",FALSE,TRUE,FALSE,,,,,,
Sunny Akers Bread,"Maurice, Louisiana",,"Home-based micro-bakery in Maurice making soft brioche-based king cakes; order online or find at the Moncus Park farmers market.",TRUE,FALSE,FALSE,,,,,,
Village Deaux,"724 Admiral Doyle Dr, New Iberia, Louisiana, 70560",337-256-8781,"New Iberia shop with locations in Maurice and Carencro offering fried-dough king cakes in flavors from boudin to Nutella.",FALSE,TRUE,FALSE,,,,,,
Meche's Donuts,"403 E Saint Peter St, New Iberia, Louisiana, 70560",337-367-0726,"New Iberia donut shop offering donut-style king cakes in a variety of flavors.",FALSE,TRUE,FALSE,,,,,,
Cane River Pecan Company,"254 W Main St, New Iberia, Louisiana, 70560",800-293-8710,"New Iberia specialty food company offering a praline pecan cream cheese king cake; ships.",FALSE,TRUE,TRUE,,,,,,
Great Harvest of Acadiana,"3411 Ambassador Caffery Pkwy, Lafayette, Louisiana, 70503",,"Lafayette Great Harvest bakery, back-to-back winner of the Great King Cake Taste Off in 2022 and 2023 with its lemon blueberry cream cheese king cake.",FALSE,TRUE,FALSE,,,,,,
Caroline's Cookies,"4017 Johnston St, Lafayette, Louisiana, 70503",337-534-8180,"Lafayette cookie company offering nine flavors of king cake cookies during Carnival season.",FALSE,TRUE,FALSE,,,,,,
Misse's Grocery,"106 E Lincoln St, Sulphur, Louisiana, 70663",337-527-6924,"Iconic Sulphur grocery known for decadent king cakes from family recipes including a Queen Cake with mascarpone cream and German Chocolate.",FALSE,TRUE,FALSE,,,,,,
Cypi's Cake Box,"520 W McNeese St, Lake Charles, Louisiana, 70605",337-478-0269,"Lake Charles bakery offering king cakes as cupcakes, cheesecakes and cake balls in flavors like Zulu and praline; ships by phone order.",FALSE,TRUE,TRUE,,,,,,
Delicious Donuts,"2283 Country Club Rd, Lake Charles, Louisiana, 70605",337-479-2986,"Lake Charles donut shop making a donut-style king cake with savory boudin and meat options plus traditional flavors; ships.",FALSE,TRUE,TRUE,,,,,,
Pronia's Deli and Bakery,"3101 Kirkman St, Lake Charles, Louisiana, 70601",337-478-0785,"Lake Charles deli and bakery offering seasonal king cakes.",FALSE,TRUE,FALSE,,,,,,
The Bekery,"2040 E Walnut St, Lake Charles, Louisiana, 70601",337-761-4777,"Lake Charles bakery, the only one in town offering French Galettes des Rois, plus king cakes whole or by the slice including boudin.",FALSE,TRUE,FALSE,,,,,,
Great Harvest Bread Co,"4112 Lake St Ste 100, Lake Charles, Louisiana, 70605",337-477-3033,"Lake Charles bread bakery offering seasonal king cakes; voted a top local king cake spot.",FALSE,TRUE,FALSE,,,,,,
Market Basket,"2380 Ryan St, Lake Charles, Louisiana, 70601",,"Southwest Louisiana grocery chain stocked with king cakes across numerous locations; ships via marketbasketfoods.com.",FALSE,TRUE,TRUE,,,,,,
Lilah's Bakery,"1718 Centenary Blvd, Shreveport, Louisiana, 71104",318-676-1407,"Shreveport's original seasonal king cake bakery with over 20 flavors; the top-voted king cake in Shreveport-Bossier and ships online.",FALSE,TRUE,TRUE,,,,,,
Julie Anne's Bakery and Cafe,"825 Kings Hwy, Shreveport, Louisiana, 71104",318-424-4995,"Shreveport bakery and cafe since 1991 offering 28 king cake flavors from its sweet danish dough with homemade buttercream.",FALSE,TRUE,FALSE,,,,,,
Lowder Baking Company,"4019 Fern Ave Ste 500, Shreveport, Louisiana, 71105",,"Shreveport bakery known for cream cheese king cakes; ships king cakes fresh.",FALSE,TRUE,TRUE,,,,,,
Tubbs Hardware and Cajun Gifts,"310 Barksdale Blvd, Bossier City, Louisiana, 71111",318-742-3373,"Bossier City hardware store whose king cakes were voted best by the Shreveport Times; ships about 10000 nationwide from its own recipe.",FALSE,TRUE,TRUE,,,,,,
The Wooden Spoon,"768 Barksdale Blvd, Bossier City, Louisiana, 71111",,"Bossier City scratch bakery offering king cakes alongside homemade cookies, breads and pastries.",FALSE,TRUE,FALSE,,,,,,
Atwood's Bakery,"1125 MacArthur Dr, Alexandria, Louisiana, 71303",318-445-5134,"Alexandria family bakery since 1977 making ten king cake flavors in four sizes including the German-chocolate Zulu; ships overnight nationwide.",FALSE,TRUE,TRUE,Personal,5.01,,,,
Caster and Chicory,"405 Natchitoches St, West Monroe, Louisiana, 71291",,"West Monroe bakery making hundreds of king cakes weekly, voted best in Monroe-West Monroe; Louisiana flavors like praline and blueberry.",FALSE,TRUE,FALSE,,,,,,
Daily Harvest Deli and Bakery,"1105 Forsythe Ave, Monroe, Louisiana, 71201",318-582-5350,"Monroe deli and bakery making king cakes fresh daily with whole wheat flour and natural sweeteners in flavors like blueberry and praline.",FALSE,TRUE,FALSE,,,,,, 
Butter A Louisiana Bakery,"2001 Tower Dr, Monroe, Louisiana, 71201",,"Monroe scratch bakery offering seasonal king cakes.",FALSE,TRUE,FALSE,,,,,,
Allbritton's Cake House and Catering,"3620 Cypress St Ste 3, West Monroe, Louisiana, 71291",,"West Monroe bakery baking king cakes fresh daily alongside customized cakes.",FALSE,TRUE,FALSE,,,,,,
Sweet Caroline's Bakery Boutique,"1530 Sterlington Hwy Ste C, Monroe, Louisiana, 71203",318-600-6639,"Monroe bakery offering traditional flavors plus a boudin and pepper jack king cake with pepper jelly, and mini king cakes.",FALSE,TRUE,FALSE,Mini,7,Three minis,20,Six minis,40
Cannata's Family Market,"6307 W Park Ave, Houma, Louisiana, 70364",985-873-9118,"South Louisiana's oldest family bakery, Houma-based Cannata's makes over 60 king cake flavors including Gooey Butter Snickerdoodle; ships nationwide.",FALSE,TRUE,TRUE,,,,,, 
Spahr's Downtown,"601 W 4th St, Thibodaux, Louisiana, 70301",985-448-0487,"Thibodaux restaurant known for king cake beignets during Carnival season.",FALSE,TRUE,FALSE,,,,,,
Rouses Markets,"701 Baronne St, New Orleans, Louisiana, 70113",,"Louisiana grocery chain whose in-store bakeries offer generously filled king cakes and Queen cakes in dozens of flavors across the state.",FALSE,TRUE,FALSE,,,,,,
